constellation,environment,elevation_deg,cn0_dbhz,num_satellites,pdop,position_error_m,multipath_index
GLONASS,Urban Canyon,8.21,37.41,6,2.428,4.98,0.5384
Galileo,Urban Canyon,12.65,35.89,7,8.0,7.1481,0.8114
BeiDou,Open Sky,44.1,40.55,11,2.508,2.6609,0.2036
GLONASS,Urban Canyon,51.98,39.14,10,3.215,6.4161,0.7685
GPS,Open Sky,40.08,43.82,11,2.034,1.4359,0.0691
BeiDou,Urban Canyon,47.49,38.58,10,2.578,4.469,0.6787
GLONASS,Urban Canyon,24.47,35.69,8,3.562,4.0027,0.294
GLONASS,Open Sky,53.87,41.59,13,1.34,1.6782,0.1875
GPS,Open Sky,56.46,37.35,9,1.11,1.9518,0.2864
Galileo,Urban Canyon,38.12,41.12,4,1.5,4.0275,0.1988
Galileo,Open Sky,46.95,43.71,11,1.038,0.2601,0.0912
BeiDou,Urban Canyon,50.89,42.97,7,2.136,5.4728,0.7559
GLONASS,Urban Canyon,27.39,35.88,7,4.068,5.0208,0.7961
BeiDou,Urban Canyon,25.52,31.25,10,2.137,3.7481,0.6318
Galileo,Open Sky,58.83,40.02,7,1.886,1.5321,0.215
GPS,Urban Canyon,30.7,36.02,4,6.139,6.3325,0.546
Galileo,Urban Canyon,32.93,27.89,7,2.457,3.1847,0.3207
GPS,Open Sky,60.97,46.1,8,1.331,0.1,0.206
BeiDou,Open Sky,46.34,36.65,12,2.147,3.1941,0.1648
GLONASS,Open Sky,35.46,43.56,10,2.751,4.2977,0.1335
GLONASS,Open Sky,56.65,36.62,8,1.753,2.1336,0.1494
Galileo,Urban Canyon,51.87,33.0,5,2.701,3.6271,0.5391
BeiDou,Open Sky,37.19,41.06,13,1.303,1.5177,0.0476
BeiDou,Urban Canyon,16.44,38.6,5,4.373,5.2036,0.3915
GLONASS,Open Sky,75.78,50.22,9,1.0,0.5615,0.0608
GPS,Open Sky,55.67,36.51,13,1.294,0.9235,0.3479
Galileo,Open Sky,59.87,43.86,13,1.529,0.1,0.0589
GPS,Urban Canyon,30.1,43.71,8,2.869,3.8267,0.4322
GPS,Urban Canyon,33.27,35.73,6,3.238,4.2578,0.8756
GLONASS,Open Sky,41.03,46.01,13,3.253,3.4816,0.0809
GLONASS,Urban Canyon,38.7,34.29,7,3.242,3.266,0.4502
BeiDou,Open Sky,50.33,47.79,14,1.714,0.739,0.3125
GPS,Open Sky,35.38,33.76,14,1.458,3.1128,0.0654
Galileo,Open Sky,59.83,40.58,9,1.085,2.3155,0.1605
Galileo,Urban Canyon,27.2,38.35,4,4.227,3.6665,0.9435
GPS,Urban Canyon,28.41,36.22,5,6.353,4.0453,0.2676
GPS,Urban Canyon,30.75,40.05,4,3.054,5.309,0.6758
Galileo,Open Sky,42.92,41.12,10,1.2,2.2086,0.2887
GPS,Open Sky,44.05,42.58,11,1.392,0.5921,0.0244
GLONASS,Urban Canyon,30.5,41.07,9,2.804,5.5563,0.7105
Galileo,Open Sky,45.31,47.94,10,1.451,1.5896,0.2419
